"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","ExternalReference","DistributionChannel","UserLanguage","Q1.2_First.Click","Q1.2_Last.Click","Q1.2_Page.Submit","Q1.2_Click.Count","Q2.1_Browser","Q2.1_Version","Q2.1_Operating.System","Q2.1_Resolution","zipcode","citizen","gender","age","faminc","faminc150","race","Q2.10_First.Click","Q2.10_Last.Click","Q2.10_Page.Submit","Q2.10_Click.Count","pid","pidlean","redist_incdiff","speedtrap","redist_taxes","redist_housing","trust_experts_univ","trust_econ_multi","trust_2","trust_3","trust_4","trust_5","trust_6","trust_7","trust_8","trust_14","trust_15","trust_16","trust_17","Q46","build_control_1","build_control_6","build_control_7","build_control_5","build_control_4","build_economist_1","build_economist_6","build_economist_7","build_economist_5","build_economist_4","build_univ_1","build_univ_6","build_univ_7","build_univ_5","build_univ_4","Q14.1","educ","employment","student","marital","marital_7_TEXT","Q14.7_First.Click","Q14.7_Last.Click","Q14.7_Page.Submit","Q14.7_Click.Count","manip_econ","manip_resp","ownrent","tenure_length","housing_cost","open_ended","svy_comments","PID","psid","rnid","study","rid","RISN","opp","Q_TotalDuration","beforeafter","random","gc","term","zip","Quota"
"1/9/18 14:39","1/9/18 14:41",0,100,152,1,"1/9/18 14:41","R_1g6ZKyJjAPRfBUv",NA,"anonymous","EN",0,0,1.286,0,"Chrome","63.0.3239.132","Windows NT 10.0","1920x1080",14559,1,1,100,4,NA,"1",0.806,0.806,1.434,1,3,2,11,4,2,6,"5","1",3,4,4,2,3,2,2,2,3,3,2,"1",NA,NA,NA,NA,NA,2,4,1,2,3,NA,NA,NA,NA,NA,NA,5,1,3,1,"",0.741,0.741,2.424,1,1,1,5,2014,4,"No other comments","None",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",152,0,9207680,4,"Speeder",14559,NA
"1/9/18 14:38","1/9/18 14:41",0,100,192,1,"1/9/18 14:41","R_1R2Xcu8kypGQmnn",NA,"anonymous","EN",0,0,2.386,0,"Chrome","63.0.3239.132","Windows NT 6.1","2048x1152",8533,1,1,100,4,NA,"1",0.74,0.74,1.626,1,1,NA,2,4,1,4,"1","1,4,6",3,3,3,4,4,3,3,3,2,2,4,"1,4",NA,NA,NA,NA,NA,2,1,2,1,5,NA,NA,NA,NA,NA,NA,3,4,3,1,"",0.752,0.752,1.777,1,1,1,6,1985,11,"I do not have any thoughts to share about this subject.","I have no thoughts regarding this survey instrument.",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",192,1,9062127,4,"Speeder",8533,NA
"1/9/18 14:39","1/9/18 14:41",0,100,156,1,"1/9/18 14:41","R_xDTYzGe1oJuFpex",NA,"anonymous","EN",0,0,5.068,0,"Chrome","63.0.3239.132","Windows NT 6.1","1024x768",98052,1,1,100,6,NA,"2",1.253,1.749,2.654,2,1,NA,9,4,1,4,"5","4",2,1,3,4,4,2,3,1,2,3,2,"5,7,9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,3,2,NA,5,1,3,1,"",1.464,1.464,2.529,1,1,1,4,2016,5,"nice ","nice ",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",156,0,2284865,4,"Speeder",98052,NA
"1/9/18 14:38","1/9/18 14:41",0,100,219,1,"1/9/18 14:41","R_OJpOj1fHUdpsXER",NA,"anonymous","EN",0,0,1.463,0,"Chrome","63.0.3239.132","Windows NT 10.0","1366x768",26505,1,1,101,6,NA,"4",1.18,1.18,2.393,1,1,NA,2,4,1,1,"4,5","4,6",4,4,4,3,4,2,4,3,3,2,2,"1,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,5,1,3,1,"",6.012,10.24,12.26,2,1,1,5,2015,5,"The fed is filled with Wall Street bankers and Ivy League professors that are out for personal profit.","n/a",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",219,0,7662342,1,"",26505,NA
"1/9/18 14:38","1/9/18 14:41",0,100,219,1,"1/9/18 14:41","R_3RmidKC2xTHncCZ",NA,"anonymous","EN",0,0,3.23,0,"Chrome","63.0.3239.132","Windows NT 10.0","1536x864",15221,1,2,101,4,NA,"1",1.24,1.24,2.168,1,1,NA,8,4,1,4,"1","1",1,1,2,3,3,1,1,1,1,1,2,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,6,4,3,1,"",4.477,5.595,6.63,2,3,1,5,2011,5,"no issues","no issues",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",219,0,4508448,1,"",15221,NA
"1/9/18 14:38","1/9/18 14:41",0,100,215,1,"1/9/18 14:41","R_32OVuRFENraHvHk",NA,"anonymous","EN",0,0,2.287,0,"Chrome","63.0.3239.132","Windows NT 10.0","1366x768",62864,1,1,101,1,NA,"1",1.3,1.3,2.4,1,1,NA,9,4,1,4,"1","1",2,2,2,2,3,2,2,2,2,2,3,"1",NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,6,1,3,1,"",0,0,2.27,0,1,1,5,2017,3,"I don't know","I don't know",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",215,1,9642325,1,"",62864,NA
"1/9/18 14:39","1/9/18 14:41",0,100,152,1,"1/9/18 14:41","R_24MkZcNEvLsKVGs",NA,"anonymous","EN",0,0,1.901,0,"Chrome","65.0.3316.2","Windows NT 10.0","1366x768",8807,1,2,100,6,NA,"1",1.194,1.953,2.193,2,2,NA,10,4,2,6,"5","4",2,4,4,3,3,2,3,3,4,3,3,"4",5,5,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,2,"",1.007,1.007,1.846,1,1,1,4,2013,6,"My local government needs to do a better job of looking after our roads and bridges","N/A",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",152,0,2871874,4,"Speeder",8807,NA
"1/9/18 14:38","1/9/18 14:41",0,100,232,1,"1/9/18 14:41","R_2cwsDZBHUsLcTcF",NA,"anonymous","EN",0,0,3.088,0,"Safari iPad","10","iPad","768x1024",33434,1,1,100,6,NA,"1",1.211,1.224,2.359,2,3,3,10,4,1,5,"1","4,6",2,2,2,4,3,1,2,3,2,2,2,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,4,NA,2,1,3,2,"",1.218,2.152,2.197,3,1,1,4,2017,7,"None","None",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",232,1,8396819,1,"",33434,NA
"1/9/18 14:39","1/9/18 14:42",0,100,130,1,"1/9/18 14:42","R_237yng7xASd84Yp",NA,"anonymous","EN",0,0,2.134,0,"Chrome","63.0.3239.132","Windows NT 6.1","1024x768",98052,1,1,100,4,NA,"2",1.214,1.214,2.336,1,1,NA,9,4,1,5,"1","6",1,2,1,2,1,2,2,2,2,1,2,"6,7,9",NA,NA,NA,NA,NA,1,4,3,2,2,NA,NA,NA,NA,NA,NA,5,1,3,1,"",1.716,1.716,2.752,1,3,2,5,2016,10,"good","nice",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",130,1,9209182,4,"Speeder",98052,NA
"1/9/18 14:38","1/9/18 14:42",0,100,195,1,"1/9/18 14:42","R_3GDnpKENlvCXzjV",NA,"anonymous","EN",0,0,1.891,0,"Chrome","63.0.3239.132","Windows NT 6.3","1920x1080",70460,1,1,101,4,NA,"1",1.32,1.32,2.312,1,3,3,9,4,1,4,"5","1",2,3,2,3,3,1,2,3,1,2,3,"7,8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,1,1,NA,4,1,3,1,"",3.102,3.102,4.587,1,1,1,5,2015,6,"n/a","n/a",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",195,1,1764359,4,"Speeder",70460,NA
"1/9/18 14:39","1/9/18 14:42",0,100,185,1,"1/9/18 14:42","R_1DoHOfexxFAb9lL",NA,"anonymous","EN",0,0,3.28,0,"Chrome","63.0.3239.132","Windows NT 6.1","1920x1080",98006,1,1,100,4,NA,"1",0.898,0.898,2.016,1,2,NA,9,4,1,4,"4","6",3,3,3,4,4,3,4,3,2,2,2,"1,4,6,7,9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,NA,5,1,3,1,"",1.518,1.518,2.538,1,2,3,5,2016,8,"My government looks at the NOW rather than down the road","everything was fine",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",185,0,4354607,4,"Speeder",98006,NA
"1/9/18 14:38","1/9/18 14:42",0,100,243,1,"1/9/18 14:42","R_Zql6vjx1Rb3Ts8F",NA,"anonymous","EN",0,0,6.91,0,"Chrome","63.0.3239.84","Macintosh","1440x900",11221,1,2,100,2,NA,"1,3",1.999,2.507,4.04,2,1,NA,8,4,1,1,"1","1,6",3,3,4,4,3,2,1,1,1,2,2,"1,4,6,7",NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,5,1,3,1,"",1.118,1.118,2.222,1,1,1,5,2017,5,"Local governments need to pay more attention to the average American. I feel they do not serve Americans as well as they should, and they are oblivious/ignoring the problems Americans face today. ","Interesting survey! ",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",243,0,4311903,1,"",11221,NA
"1/9/18 14:38","1/9/18 14:42",0,100,253,1,"1/9/18 14:42","R_VJRdSiOU6rmR7Pj",NA,"anonymous","EN",0,0,1.535,0,"Chrome","63.0.3239.132","Windows NT 10.0","1600x900",15106,1,3,100,4,NA,"1",12.557,13.306,14.216,3,1,NA,2,4,1,1,"5","4,6",2,2,2,3,4,2,2,3,1,2,4,"7",2,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,"",1.295,1.295,2.718,1,1,1,4,1991,3,"we have a lot of empty properties that homeless people could live in","none",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",253,1,3153306,1,"",15106,NA
"1/9/18 14:38","1/9/18 14:42",0,100,225,1,"1/9/18 14:42","R_er07Xsl2E8mga1r",NA,"anonymous","EN",0,0,14.191,0,"Chrome","63.0.3239.84","Macintosh","1680x1050",37075,1,2,100,1,NA,"1",1.054,1.054,2.05,1,1,NA,2,4,1,1,"1","4",2,3,4,2,4,1,2,3,1,2,3,"7,9",2,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,1,"",0.985,0.985,2.629,1,2,2,4,2011,5,"Too many apartments are being built in my town.","n/a",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",225,1,7237732,1,"",37075,NA
"1/9/18 14:39","1/9/18 14:42",0,100,185,1,"1/9/18 14:42","R_2zGCv8XZwjv75xU",NA,"anonymous","EN",0,0,1.713,0,"Chrome","63.0.3239.116","CrOS x86_64 10032.75.0","1366x768",93304,1,1,101,2,NA,"1",1.032,1.032,2.572,1,2,NA,8,4,1,4,"1","1",2,2,2,2,3,2,3,2,2,2,2,"10",NA,NA,NA,NA,NA,2,2,2,2,1,NA,NA,NA,NA,NA,NA,4,1,3,1,"",3.16,3.16,4.341,1,3,3,5,2008,5,"No opinion","Thanks",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",185,0,6770188,4,"Speeder",93304,NA
"1/9/18 14:38","1/9/18 14:42",0,100,229,1,"1/9/18 14:42","R_1UgxXPaJqnx1rQR",NA,"anonymous","EN",0,0,6.772,0,"Chrome","63.0.3239.132","Windows NT 10.0","2195x1235",90004,1,1,99,13,NA,"4",1.103,1.103,1.816,1,3,1,8,4,1,1,"1","1",2,2,3,3,4,2,3,2,2,1,3,"1,5",2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,3,1,"",1.001,1.001,2.672,1,1,3,5,1993,5,"N/A","N/A",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",229,1,6490998,1,"",90004,NA
"1/9/18 14:40","1/9/18 14:42",0,100,141,1,"1/9/18 14:42","R_5gTt0FE8iAUqSIN",NA,"anonymous","EN",1.146,1.146,1.623,1,"Firefox","57","Windows NT 10.0","1920x1080",89144,1,1,100,9,NA,"1",0.687,0.687,1.416,1,3,1,8,4,1,1,"1","1",3,3,4,2,4,2,3,1,1,2,2,"1,7",NA,NA,NA,NA,NA,1,1,1,4,1,NA,NA,NA,NA,NA,NA,6,1,3,1,"",0.792,1.071,1.685,2,3,3,4,2015,8,"I have none, thanks.","Thanks, interesting topic.",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",141,1,8614468,4,"Speeder",89144,NA
"1/9/18 14:39","1/9/18 14:42",0,100,225,1,"1/9/18 14:42","R_2Tn6eaCYzYVWHVb",NA,"anonymous","EN",0,0,2.566,0,"Chrome","63.0.3239.84","Windows NT 10.0","1366x768",12839,1,2,100,4,NA,"1",1.078,1.078,2.045,1,1,NA,8,4,1,4,"1","1",2,2,2,2,2,2,2,2,2,2,2,"1,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,NA,2,1,3,3,"",1.835,3.9,4.246,2,1,1,5,2016,4,"they need to focus on infrastructure","Good survey thanks",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",225,1,2965538,1,"",12839,NA
"1/9/18 14:38","1/9/18 14:42",0,100,235,1,"1/9/18 14:42","R_1mgRSYy7i1SbPGW",NA,"anonymous","EN",0,0,4.424,0,"Chrome","63.0.3239.132","Windows NT 6.1","1366x768",33176,1,1,100,10,NA,"3",1.662,1.662,2.495,1,4,3,11,4,2,2,"4,5,6","4,6,7",4,4,4,2,2,2,2,3,4,4,4,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,5,1,3,2,"",1.178,1.178,2.06,1,1,1,4,2007,16,"Anarcho-capitalism is ideal.","N/A",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",235,1,8465696,1,"",33176,NA
"1/9/18 14:38","1/9/18 14:42",0,100,258,1,"1/9/18 14:42","R_2sYLP5E1gp1xZGL",NA,"anonymous","EN",9.558,9.558,16.388,1,"Chrome","63.0.3239.132","Windows NT 6.3","1920x1080",55369,1,2,101,6,NA,"1",0.951,0.951,1.88,1,1,NA,9,4,1,5,"4","6",4,2,3,3,3,1,1,2,1,2,2,"7",NA,NA,NA,NA,NA,5,4,5,5,1,NA,NA,NA,NA,NA,NA,3,3,3,2,"",1.259,1.259,2.468,1,2,2,4,2009,6,"I can't think of anything","Was nice to complete",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",258,1,8539718,1,"",55369,NA
"1/9/18 14:38","1/9/18 14:43",0,100,284,1,"1/9/18 14:43","R_1BXIvQmW71Xzfw7",NA,"anonymous","EN",0,0,4.291,0,"Chrome","63.0.3239.84","Windows NT 10.0","1366x768",13069,1,2,101,4,NA,"1",0.902,0.905,1.79,2,1,NA,8,4,1,4,"1,4","1",2,2,2,3,4,2,2,2,1,2,3,"4,6",NA,NA,NA,NA,NA,5,5,5,4,1,NA,NA,NA,NA,NA,NA,3,1,3,3,"",1.257,1.261,2.57,2,1,3,4,2016,5,"I trust the local government more than the larger government branches","na",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",284,1,7117514,1,"",13069,NA
"1/9/18 14:38","1/9/18 14:43",0,100,276,1,"1/9/18 14:43","R_2wzAVdm3eQhsLnZ",NA,"anonymous","EN",0,0,3.942,0,"Chrome","63.0.3239.84","Windows NT 10.0","1536x864",68134,1,2,100,1,NA,"1",1.136,1.136,2.235,1,1,NA,2,4,1,1,"4,5","4,6",4,4,4,3,4,2,2,3,3,3,4,"1,4,5,7",NA,NA,NA,NA,NA,2,2,2,1,1,NA,NA,NA,NA,NA,NA,5,4,3,7,"Long term cohabitating",1.333,11.118,22.698,4,3,3,5,2008,4,"I think government in general does too little for working class and middle class people. People are struggling to survive way more than they should while top income earners live with so much excess it is disgusting.","none",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",276,1,4126236,1,"",68134,NA
"1/9/18 14:39","1/9/18 14:43",0,100,250,1,"1/9/18 14:43","R_2Su94qbM62n32Jo",NA,"anonymous","EN",0,0,8.02,0,"Firefox","57","Macintosh","1280x800",10314,1,2,100,2,NA,"1",1.169,3.353,4.313,4,1,NA,2,4,1,1,"1,5","4,6",3,3,3,4,4,2,2,2,2,2,3,"1,4,6,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,4,NA,5,2,3,1,"",1.113,1.113,2.283,1,3,3,5,2011,14,"I don't really have any comments.","I don't have any thoughts about the way the survey was run.",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",250,0,7280369,1,"",10314,NA
"1/9/18 14:39","1/9/18 14:43",0,100,234,1,"1/9/18 14:43","R_3KuvVOpNK7mY2Yb",NA,"anonymous","EN",0,0,3.4,0,"Chrome","63.0.3239.84","Macintosh","1280x800",10469,1,1,99,6,NA,"4",1.73,1.73,3.029,1,1,NA,9,4,2,1,"4","4,6",2,2,3,3,3,3,2,3,2,2,2,"1,4,7",NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,4,1,1,"",1.43,1.43,2.619,1,1,1,6,2011,7,"I think the government is doing alright. The media makes it seem way worse than it actually is","Interesting topic",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",234,0,1418336,1,"",10469,NA
"1/9/18 14:38","1/9/18 14:43",0,100,269,1,"1/9/18 14:43","R_zeE6sdGHvWldB7P",NA,"anonymous","EN",0,0,8,0,"Chrome","63.0.3239.84","Windows NT 10.0","1600x900",12771,1,2,101,4,NA,"1",1.062,1.062,2.068,1,2,NA,2,4,1,1,"1","4",2,2,1,2,2,2,2,2,1,1,2,"6",5,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,2,"",1.089,1.089,2.047,1,1,3,4,2016,5,"I think they do a good job for the most part. Some politicians are better than others.","Interesting survey. Good luck with your study!",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",269,0,2415231,1,"",12771,NA
"1/9/18 14:41","1/9/18 14:43",0,100,105,1,"1/9/18 14:43","R_t04KHjJff9M84uJ",NA,"anonymous","EN",2.478,2.822,3.287,2,"Chrome","63.0.3239.132","Windows NT 10.0","1920x1080",91706,1,2,99,1,NA,"1,4",0.753,1.321,1.932,3,3,1,9,4,3,5,"4","6",1,4,2,4,1,3,1,3,4,1,3,"5,8",NA,NA,NA,NA,NA,4,3,4,1,4,NA,NA,NA,NA,NA,NA,3,2,3,2,"",0.937,0.937,1.628,1,1,3,5,2017,4,NA,NA,NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",105,0,8484229,4,"Speeder",91706,NA
"1/9/18 14:39","1/9/18 14:43",0,100,236,1,"1/9/18 14:43","R_9MsLgOxouyJTSdb",NA,"anonymous","EN",0,0,1.665,0,"Firefox","57","Windows NT 10.0","1024x768",76060,1,1,102,4,NA,"1",1.424,1.424,2.318,1,2,NA,9,4,1,4,"5","1",3,4,4,3,4,2,2,2,2,2,2,"1",4,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,"",1.416,1.416,2.327,1,2,2,5,2008,7,"our local government is horrible","it was fine",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",236,1,3451215,1,"",76060,NA
"1/9/18 14:38","1/9/18 14:43",0,100,270,1,"1/9/18 14:43","R_3rUvQFtzyoT7htI",NA,"anonymous","EN",2.144,2.144,4.749,1,"Chrome","63.0.3239.132","Macintosh","1280x800",46256,1,2,99,13,NA,"1",1.355,1.355,2.747,1,1,NA,8,4,1,1,"4","1",1,1,2,2,3,2,2,2,2,3,4,"1,5,6,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,4,NA,3,7,5,3,"",0.612,20.107,20.99,5,1,1,5,2017,5,"I just moved here so I'm not too familiar with the local government.","This made me think about how worried I am about my housing situation and how I don't think I can keep up with the payments.",NA,NA,NA,NA,NA,NA,"Qual1741-0113MSAs",270,1,6064343,1,"",46256,NA
